File;albensis;apis;baretiae;baumannii;baylyi;beijerinckii;bereziniae;bohemicus;boissieri;bouvetii;brisouii;calcoaceticus;celticus;chengduensis;chinensis;colistiniresistens;courvalinii;cumulans;defluvii;dispersus;equi;gandensis;gerneri;gs06;gs16;guerrae;guillouiae;gyllenbergii;haemolyticus;halotolerans;harbinensis;idrijaensis;indicus;johnsonii;junii;kanungonis;kookii;kyonggiensis;lactucae;lanii;larvae;lwoffii;marinus;modestus;nectaris;nosocomialis;oleivorans;parvus;piscicola;pittii;pollinis;populi;portensis;pragensis;proteolyticus;pseudolwoffii;pullicarnis;puyangensis;qingfengensis;radioresistens;rathckeae;rongchengensis;rudis;schindleri;seifertii;seohaensis;shaoyimingii;sichuanensis;soli;stercoris;tandoii;terrae;terrestris;tianfuensis;tjernbergiae;towneri;ursingii;variabilis;venetianus;vivianii;wanghuae;wuhouensis;echte Spezies;predicted;x;max score;comment
GCF_000368405;0.01;0.01;0;0.05;0.01;0.02;0.01;0.02;0;0.01;0.01;0.13;0.01;0.01;0.01;0.02;0.02;0.01;0.01;0.02;0.01;0.01;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0;0.02;0.01;0.02;0.01;0.01;0.01;0.15;0.01;0.01;0.01;0;0.02;0.01;0.1;0.37;0.01;0.01;0.13;0;0.01;0.01;0;0.02;0.02;0.01;0.01;0.01;0.02;0.01;0.01;0.02;0.02;0.14;0.01;0.01;0.01;0.02;0.01;0.02;0.02;0.01;0.01;0.02;0.01;0.02;0.02;0.02;0.02;0.01;0.01;oleivorans;calcoaceticus;FALSCH;0.37;
GCF_000175675;0.01;0;0;0.01;0.01;0;0.01;0.01;0;0.01;0;0;0.01;0.01;0.01;0.01;0;0.01;0;0;0.01;0.01;0.01;0.01;0;0.01;0;0;0;0;0;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0;0;0;0.01;0;0.01;0;0;0.01;0;0.01;0.02;0.01;0;0;0.48;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0.01;0.01;0.01;0.01;0.01;radioresistens;radioresistens;WAHR;0.48;
GCF_000177695;0.01;0;0;0.31;0.01;0.01;0.01;0.01;0;0.01;0.01;0.05;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.08;0;0.01;0.01;0;0.01;0;0.13;0.07;0.01;0.01;0.09;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.09;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.31;
GCF_000177715;0.01;0;0;0.33;0.01;0.01;0.01;0.01;0;0.01;0.01;0.06;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.02;0.01;0.01;0.01;0.08;0.01;0;0.01;0;0.01;0.01;0.12;0.07;0.01;0.01;0.08;0;0;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0;0.01;0.01;0.01;0.09;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.33;
GCF_000177735;0.01;0;0;0.33;0.01;0.01;0.01;0.01;0;0.01;0.01;0.06;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.08;0.01;0.01;0.01;0;0.01;0;0.13;0.07;0.01;0.01;0.09;0;0;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0;0.01;0.01;0.01;0.1;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.33;
GCF_000184475;0.01;0;0;0.47;0.01;0.01;0.01;0.01;0;0.01;0.01;0.04;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0;0;0.02;0.01;0.01;0.01;0.01;0.01;0.07;0.01;0;0.01;0;0.01;0.01;0.1;0.07;0.02;0.01;0.09;0;0;0.01;0;0.01;0.01;0.01;0;0;0.01;0;0.01;0.01;0.01;0.1;0.01;0;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.02;0.01;0.02;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.47;
GCF_000184495;0;0;0;0.34;0.01;0.01;0.01;0.01;0;0;0;0.05;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.08;0;0;0;0;0.01;0;0.1;0.06;0.01;0;0.09;0;0;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0;0.01;0.01;0.01;0.08;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.34;
GCF_000186645;0;0;0;0.4;0.01;0.01;0.01;0.01;0;0;0.01;0.07;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0;0.01;0.01;0;0;0.01;0.07;0;0;0.01;0;0.01;0;0.09;0.05;0.01;0;0.08;0;0;0.01;0;0.01;0.01;0.01;0;0;0.01;0;0.01;0;0;0.06;0.01;0;0.01;0;0;0.01;0;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.4;
GCF_000186665;0.01;0.01;0.01;0.32;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.07;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.02;0.01;0.01;0.01;0.07;0.01;0.01;0.01;0.01;0.01;0.01;0.07;0.01;0.01;0.01;0.06;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;baumannii;baumannii;WAHR;0.32;
GCF_000187205;0.01;0;0;0.46;0.01;0.01;0.01;0.01;0;0.01;0.01;0.05;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0;0.02;0.01;0.01;0.01;0.01;0.01;0.07;0.01;0.01;0.01;0;0.01;0.01;0.15;0.12;0.01;0.01;0.1;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.17;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.46;
GCF_000188215;0.01;0.01;0;0.51;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.06;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.02;0.01;0.01;0.01;0.08;0.01;0.01;0.01;0;0.01;0.01;0.09;0.02;0.02;0.01;0.07;0;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.02;0.01;0.01;0.02;baumannii;baumannii;WAHR;0.51;
GCF_000189655;0;0;0;0.44;0.01;0.01;0.01;0.01;0;0;0;0.05;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0;0;0;0.01;0.01;0.01;0;0;0.01;0.07;0.01;0;0.01;0;0.01;0;0.08;0.05;0.01;0.01;0.1;0;0.01;0.01;0;0.01;0.01;0.01;0;0;0.01;0;0.01;0;0.01;0.07;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.44;
GCF_000189675;0;0;0;0.54;0.01;0.01;0.01;0.01;0;0;0.01;0.03;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0;0;0.01;0;0.01;0.06;0;0.01;0;0;0.01;0;0.1;0.07;0.01;0.01;0.09;0;0;0.01;0;0.01;0;0;0;0;0.01;0;0.01;0.01;0;0.11;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0.01;0.01;0;0.01;0.01;0;0.01;baumannii;baumannii;WAHR;0.54;
GCF_000189695;0;0;0;0.36;0.01;0.01;0.01;0.01;0;0;0.01;0.05;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.06;0.01;0;0.01;0;0.01;0;0.1;0.06;0.01;0.01;0.09;0.01;0;0.01;0.01;0.01;0.01;0;0;0;0.01;0;0.01;0.01;0;0.08;0.01;0;0.01;0.01;0.01;0.01;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.36;
GCF_001753605;0.01;0;0;0.01;0.01;0.03;0.01;0.01;0;0.01;0;0.01;0.01;0.01;0.01;0.08;0.05;0.01;0;0.06;0.01;0.01;0.01;0.02;0.07;0.01;0;0.09;0.02;0.01;0;0;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0;0.01;0;0.04;0;0.01;0.01;0.03;0.01;0.01;0;0.01;0;0;0.37;0.01;0.01;0;0;0.01;0;0.01;0;0.01;0.01;0.01;0.01;0;0.01;0;0.01;0.01;0.01;0.01;0.03;0.01;0.01;0.01;0.03;0.04;0;0.01;proteolyticus;haemolyticus;FALSCH;0.37;
GCF_000196795;0.01;0;0;0.07;0.01;0.01;0.01;0.01;0;0.01;0.01;0.11;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.12;0.01;0.01;0.01;0;0.01;0.01;0.1;1;0.01;0.01;0.14;0.01;0;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.15;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;oleivorans;oleivorans;WAHR;1;
GCF_000214135;0.01;0;0;0.01;0.01;0.01;0.02;0.01;0;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.03;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0;0.01;0.01;0.01;0;0.01;0.01;0.01;0.08;0;0;0;0.01;0.01;0.01;0.01;0.01;0;0;0;0;0.04;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;sp.;sp.;WAHR;0.08;
GCF_000214985;0.01;0.01;0;0.32;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.06;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.02;0.01;0.01;0.01;0.07;0.01;0.01;0.01;0;0.01;0.01;0.07;0.01;0.01;0.01;0.06;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.02;baumannii;baumannii;WAHR;0.32;
GCF_000215005;0.01;0.01;0;0.3;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.06;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.02;0.01;0.01;0.01;0.07;0.01;0.01;0.01;0;0.01;0.01;0.07;0.01;0.01;0.01;0.06;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.01;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.3;
